match_id,competition_id,season_id,match_date,team,opponent,is_home,goals_for,goals_against,xg_for,xg_against,shot_accuracy_pct,possession_pct,progressive_passes_pct
3857279,43,106,2022-11-22,France,Australia,1,4,1,3.170495788,0.32329254,26.08695652173913,61.63166397415186,16.029411764705884
3857279,43,106,2022-11-22,Australia,France,0,1,4,0.32329254,3.170495788,25.0,38.368336025848144,21.573604060913706
3857254,43,106,2022-11-22,Denmark,Tunisia,1,0,0,1.566558758,1.0599351179999998,45.45454545454545,60.77140169332079,22.610294117647058
3857254,43,106,2022-11-22,Tunisia,Denmark,0,0,0,1.0599351179999998,1.566558758,7.6923076923076925,39.22859830667921,21.904761904761905
3857300,43,106,2022-11-22,Argentina,Saudi Arabia,1,1,2,2.491633446,0.153461642,40.0,69.31330472103005,18.081180811808117
3857300,43,106,2022-11-22,Saudi Arabia,Argentina,0,2,1,0.153461642,2.491633446,66.66666666666666,30.686695278969957,22.33502538071066
3857265,43,106,2022-11-22,Mexico,Poland,1,0,0,0.5291349314,1.137926228,36.36363636363637,60.04415011037527,22.42562929061785
3857265,43,106,2022-11-22,Poland,Mexico,0,0,0,1.137926228,0.5291349314,33.33333333333333,39.95584988962472,25.482625482625483
3857284,43,106,2022-11-23,Germany,Japan,1,1,2,2.7680194209999995,1.249259581,34.61538461538461,73.75,20.33195020746888
3857284,43,106,2022-11-23,Japan,Germany,0,2,1,1.249259581,2.7680194209999995,33.33333333333333,26.25,26.51162790697674
3857268,43,106,2022-11-23,Belgium,Canada,1,1,0,0.6700408539999999,2.5462123360000004,33.33333333333333,52.662721893491124,19.51219512195122
3857268,43,106,2022-11-23,Canada,Belgium,0,0,1,2.5462123360000004,0.6700408539999999,13.636363636363635,47.337278106508876,26.184538653366584
3857277,43,106,2022-11-23,Morocco,Croatia,1,0,0,0.362638976,0.8498605050000001,25.0,35.88785046728972,21.92691029900332
3857277,43,106,2022-11-23,Croatia,Morocco,0,0,0,0.8498605050000001,0.362638976,20.0,64.11214953271028,18.717504332755635
3857291,43,106,2022-11-23,Spain,Costa Rica,1,7,0,2.761923473,0.0,47.05882352941176,81.34328358208955,17.046580773042617
3857291,43,106,2022-11-23,Costa Rica,Spain,0,0,7,0.0,2.761923473,0.0,18.65671641791045,27.906976744186046
3857258,43,106,2022-11-24,Brazil,Serbia,1,2,0,2.1238895187000004,0.16332714399999998,39.130434782608695,58.08270676691729,19.29499072356215
3857258,43,106,2022-11-24,Serbia,Brazil,0,0,2,0.16332714399999998,2.1238895187000004,0.0,41.91729323308271,18.51851851851852
3857287,43,106,2022-11-24,Uruguay,South Korea,1,0,0,0.417294332,0.492992523,10.0,55.179090029041625,20.842105263157894
3857287,43,106,2022-11-24,South Korea,Uruguay,0,0,0,0.492992523,0.417294332,0.0,44.820909970958375,21.937321937321936
3857298,43,106,2022-11-24,Portugal,Ghana,1,3,2,2.096873393,0.7800233097,45.45454545454545,61.57407407407407,18.92361111111111
3857298,43,106,2022-11-24,Ghana,Portugal,0,2,3,0.7800233097,2.096873393,33.33333333333333,38.425925925925924,22.916666666666664
